ano,producao
2003,4200
2004,810
2005,1500
2006,2280
2007,2400
2008,44880
2009,630
2010,36000
2011,121964
2012,284272
2013,522577
2014,490175
2015,693000
2016,180463
2017,823875
2018,607842
2019,619200
2020,1320000
2021,1368000
2022,765000
2023,1730400
